species
Eluma caelata
Cereopsis novaehollandiae
Veronica catenata
Aquarius najas
Scrophularia auriculata
Dianthus barbatus
Burhinus oedicnemus
Ponera coarctata
Cicer arietinum
Heterarthrus microcephalus
Avena sterilis
Centaurea diluta
Rhytistylus proceps
Liothrips setinodis
Odontites luteus
Culex modestus
Fumaria muralis
Potamogeton gramineus
Eleusine tristachya
Poa bulbosa
Issus coleoptratus
Aster amellus
Cardamine bulbifera
Culicoides brunnicans
Andrena lathyri
Fringilla montifringilla
Pholidoptera griseoaptera
Amaranthus powellii
Symphyotrichum lanceolatum
Hemerocallis fulva
Thamnotettix confinis
Nothochrysa capitata
Nitela spinolae
Luzula sylvatica
Crepis foetida
Gelis areator
Rubus steneoacanthus
Hieracium cruentifolium
Mya arenaria
Ornithogalum nutans
Mustelus mustelus
Alisma lanceolatum × plantago-aquatica
Strix uralensis
Hartigia nigra
Melampyrum nemorosum
Anopheles atroparvus
Dysphania aristata
Allygus modestus
Trophonopsis muricata
Amelanchier lamarckii
Saldula orthochila
Lestiphorus bicinctus
Zyginidia scutellaris
Myzus varians
Potamophylax rotundipennis
Pteris cretica
Myrmica rubra
Baeus seminulum
Larix kaempferi
Carex arenaria
Elymus caninus
Lestica alata
Epilobium lanceolatum
Drepanocladus aduncus
Emberiza citrinella
Zicrona caerulea
Lasius niger
Sander lucioperca
Epilobium subhirsutum
Caragana arborescens
Elasmucha grisea
Tetramorium caespitum
Pseudomallada flavifrons
Corydalis linstowiana
Polygala vulgaris
Chaenomeles speciosa
Hylaeus pectoralis
Locusta migratoria
Papaver atlanticum
Cerastium glomeratum
Pluvialis squatarola
Dysaphis crataegi
Nomada fuscicornis
Pelobates fuscus
Blastobasis lacticolella
Tilia cordata
Vulgichneumon trifarius
Naucoris maculatus
Avena strigosa
Cunctochrysa albolineata
Capitophorus hippophaes
Rosa dumalis
Trichoniscus alemannicus
Chenopodium giganteum
Tragopogon mirabilis
Lophodytes cucullatus
Larix decidua
Carex rostrata
Cladium mariscus
Phryganea grandis
Belone belone
Pollachius pollachius
Dactylorhiza grandis
Nymphaea marliacea
Macrophya alboannulata
Vulgichneumon deceptor
Silene vulgaris
Carthamus lanatus
Hedera hibernica
Larus canus
Pilophorus confusus
Symphoricarpos orbiculatus
Ectobius sylvestris
Trigonella caerulea
Fabriciana adippe
Mercurialis perennis
Corylus maxima
Drepanosiphum platanoidis
Sedum palmeri
Metopius vespoides
Oryza sativa
Anemone nemorosa
Rheum rhabarbarum
Solanum angustifolium
Neptunea angulata
Asperula laevigata
Radix rubiginosa
Luzula forsteri
Anaceratagallia ribauti
Dysaphis lauberti
Andricus rhyzomae
Verbena officinalis
Rubus integribasis
Paralimnus phragmitis
Wisteria sinensis
Gymnomerus laevipes
Thalia dealbata
Xanthocyparis nootkatensis
Knautia macedonica
Anser anser
Scirpus cyperinus
Pteroxanium kelloggi
Porcellio scaber
Ichneumon albiger
Prunus syriaca
Gadus morhua
Sphagnum palustre
Portulaca oleracea
Sisyra nigra
Poecilobothrus nobilitatus
Calendula officinalis
Spilosoma lubricipeda
Macrodiprion nemoralis
Gomphocerippus rufus
Uria lomvia
Vespula germanica
Kybos smaragdula
Ancistrocerus claripennis
Alloeotomus gothicus
Doronicum pardalianches
Psyllopsis fraxini
Phengaris alcon
Achatina achatina
Artemisia absinthium
Bidens cernua
Nycticorax nycticorax
Tachysphex pompiliformis
Heliophanus kochii
Lonchura punctulata
Psammotettix excisus
Macleaya cordata
Stylops melittae
Crocus vernus
Zinnia elegans
Edwardsiana prunicola
Lonchura oryzivora
Atocion armeria
Branta canadensis
Brenthis ino
Erodium malacoides
Legousia hybrida
Porcellio laevis
Chlidonias hybrida
Pernis apivorus
Odontites jaubertianus
Priocnemis coriacea
Platycampus luridiventris
Liomesus dalei
Veronica officinalis
Malva verticillata
Andrena bicolor
Hordeum secalinum
Ptyonoprogne rupestris
Sison amomum
Pareophora pruni
Polygonatum hybridum
Enallagma cyathigerum
Carex pendula
Andrena nitidiuscula
Persea americana
Linaria vulgaris
Salamandra salamandra
Polystichum munitum
Tetraneura nigriabdominalis
Oxybelus mandibularis
Lachnus tatakaensis
Phoenicopterus ruber
Oenothera oakesiana
Malope trifida
Limacus flavus
Hedera helix
Erythranthe lutea
Pulicaria vulgaris
Hieracium umbellatum
Carex paniculata
Potamogeton nodosus
Hippolais icterina
Podiceps cristatus
Fratercula arctica
Leptothorax nylanderi
Lonicera caprifolium
Juncus foliosus
Phylloscopus bonelli
Gaudinia fragilis
Sylvia nisoria
Hylotelephium spectabile
Oenothera speciosa
Carex spicata
Cotoneaster dammeri
Polysphincta boops
Andrena agilissima
Nepeta cataria
Verbena bonariensis
Sphecodes ferruginatus
Anser fabalis
Plectranthus caninus
Quiscalus quiscula
Moenchia erecta
Jacobaea erratica
Lepidium perfoliatum
Sympherobius fuscescens
Polytrichum juniperinum
Brachycolus cerastii
Iris xiphium
Girardia tigrina
Nepeta racemosa
Andrena clarkella
Stygnocoris rusticus
Viola tricolor
Ornithopus compressus
Pamphilius hortorum
Geranium macrorrhizum
Holcus lanatus
Orchis mascula
Hexaplex trunculus
Myosotis nemorosa
Lachnus roboris
Dichrooscytus intermedius
Papaver rhoeas
Hoplomachus thunbergii
Xanthoriicola physciae
Ranunculus polyanthemoides
Rudbeckia fulgida
Echinops ritro
Petasites albus
Ichneumon suspiciosus
Caecilius fuscopterus
Eupelix cuspidata
Physalis peruviana
Andrena fulvata
Silene muscipula
Asiraca clavicornis
Chelone obliqua
Pourthiaea villosa
Onopordum tauricum
Platichthys flesus
Systellonotus triguttatus
Passaloecus pictus
Chrysura trimaculata
Tenthredo campestris
Rosa sherardii
Branta leucopsis x Anser caerulescens
Cephalozia bicuspidata
Straminella varia
Hydropsyche contubernalis
Guizotia abyssinica
Mysia undata
Tenthredo mesomela
Parthenium hysterophorus
Rhithrogena semicolorata
Lecanora intricata
Hydrometra gracilenta
Potamogeton polygonifolius
Stuckenia pectinata
Hebrus ruficeps
Drymonia velitaris
Poecile montanus
Odontites vernus
Cernuella virgata
Corylus avellana
Glaucium grandiflorum
Pinus pinaster
Sisymbrium orientale
Potentilla italica
Aphis nerii
Chorthippus brunneus
Euspira catena
Trifolium striatum
Ophion ventricosus
Dracocephalum moldavica
Salix babylonica
Anchusa procera
Empicoris baerensprungi
Coenagrion pulchellum
Oudardia compressa
Eragrostis pilosa
Themira superba
Dolichotis patagonum
Macropsis impura
Saxifraga tridactylites
Metatrichoniscoides leydigii
Pseudemys concinna
Puccinellia fasciculata
Arge gracilicornis
Falco biarmicus
Agrostis canina
Metopius citratus
Salicornia procumbens
Euonymus fortunei
Allygidius atomarius
Calystegia silvatica
Diplotaxis erucoides
Acridotheres cristatellus
Arion vulgaris
Carduelis citrinella
Primula elatior
Iberis amara
Spinucella tetragona
Tachybaptus ruficollis
Andrena subopaca
Paspalum distichum
Plantago coronopus
Corvus splendens
Geocentrophora sphyrocephala
Celosia cristata
Callipepla californica
Symphoricarpos albus
Bromus lepidus
Cyrtomium fortunei
Aylax minor
Crossocerus congener
Aphalara maculipennis
Lophura nycthemera
Verbascum phlomoides
Papaver cambricum
Mermessus trilobatus
Geotomus petiti
Melilotus officinalis
Sagina apetala
Vicia eriocarpa
Macrophya punctumalbum
Lobularia maritima
Apium graveolens
Fraxinus latifolia
Hylaeus clypearis
Acer rufinerve
Cepaea hortensis
Chenopodium vulvaria
Melampodium perfoliatum
Erodium trifolium
Buccinum undatum
Anemone sylvestris
Veronica filiformis
Rhea americana
Taraxacum nordstedtii
Calibrachoa parviflora
Castor fiber
Halictus leucaheneus
Sylvia subalpina
Volvulella acuminata
Microporus nigrita
Clerodendrum bungei
Vespa velutina
Centaurea melitensis
Luzula congesta
Stellaria apetala
Avena sativa
Bryonia dioica
Arge enodis
Carex riparia
Ranunculus polyanthemophyllus
Myrmica rugulosa
Asplenium ruta-muraria
Acericerus heydenii
Anas querquedula
Bupleurum fontanesii
Fallopia convolvulus x dumetorum
Coelichneumon erythromerus
Colletes daviesanus
Acaena magellanica
Gambrus ornatus
Cardium decorticatum
Brachiaria platyphylla
Ginkgo biloba
Viscum album
Teratocoris antennatus
Chaetopteryx villosa
Thrips vulgatissimus
Galium murale
Psittacula alexandri
Bassia laniflora
Aphis rumicis
Byrsinus flavicornis
Pithanus maerkelii
Callophrys rubi
Pagurus bernhardus
Nepeta subsessilis
Nematus miliaris
Physarum bethelii
Sonchus palustris
Thysselinum palustre
